,SalePrice
206,94500
207,128200
208,216500
209,89500
210,185500
211,194500
212,318000
213,113000
214,262500
215,110500
216,79000
217,120000
218,205000
219,241500
220,137000
221,140000
222,180000
223,277000
224,76500
225,235000
226,173000
227,158000
228,145000
229,230000
230,207500
231,231500
232,97000
233,176000
234,276000
235,151000
236,130000
237,175500
238,185000
239,179500
240,148000
241,266000
242,241500
243,290000
244,139000
245,124500
246,205000
247,201000
248,415298
249,192000
250,228500
251,185000
252,207500
253,244600
254,179200
255,164700
256,159000
257,88000
258,122000
259,153575
260,233230
261,167000
262,142500
263,152000
264,239000
265,175000
266,158500
267,157000
268,267000
269,205000
270,149900
271,295000
272,305900
273,225000
274,89500
275,82500
276,360000
277,132000
278,119900
279,375000
280,178000
281,188500
282,260000
283,260000
284,187500
285,342643
286,354000
287,301000
288,126175
289,242000
290,87000
291,324000
292,145250
293,214500
294,119000
295,284000
296,207000
297,192000
298,377426
299,214000
300,155000
301,202900
302,82000
303,266000
304,85000
305,140200
306,151500
307,157500
308,154000
309,437154
310,318061
311,190000
312,95000
313,105900
314,140000
315,177500
316,134000
317,130000
318,280000
319,156000
320,145000
321,198500
322,118000
323,190000
324,147000
325,159000
326,165000
327,132000
328,134432
329,125000
330,219500
331,61000
332,148000
333,340000
334,394432
335,179000
336,127000
337,187750
338,213500
339,240000
340,192000
341,81000
342,125000
343,426000
344,119000
345,215000
346,106500
347,100000
348,109000
349,129000
350,123000
351,67000
352,241000
353,245500
354,164990
355,108000
356,258000
357,168000
358,150000
359,115000
360,177000
361,280000
362,339750
363,60000
364,115000
365,228000
366,181134
367,149500
368,239000
369,126000
370,142000
371,206300
372,215000
373,113000
374,315000
375,139000
376,135000
377,275000
378,109008
379,195400
380,175000
381,85400
382,79900
383,122500
384,181000
385,81000
386,212000
387,116000
388,119000
389,90350
390,110000
391,555000
392,162900
393,172500
394,210000
395,190000
396,119500
397,120000
398,110000
399,280000
400,204000
401,210000
402,188000
403,175500
404,98000
405,256000
406,161000
407,110000
408,263435
409,155000
410,62383
411,188700
412,124000
413,178740
414,167000
415,146500
416,250000
417,187000
418,212000
419,190000
420,148000
421,440000
422,251000
423,132500
424,208900
425,380000
426,297000
427,89471
428,326000
429,374000
430,155000
431,164000
432,132500
433,147000
434,156000
435,175000
436,160000
437,86000
438,115000
439,133000
440,172785
441,155000
442,34900
443,430000
444,184000
445,130000
446,120000
447,226700
448,140000
449,289000
450,147000
451,124500
452,215000
453,208300
454,161000
455,124500
456,164900
457,202665
458,129900
459,96500
460,402861
461,158000
462,211000
463,234000
464,106250
465,159000
466,184750
467,315750
468,176000
469,132000
470,446261
471,200624
472,175000
473,128000
474,107500
475,39300
476,107500
477,188000
478,158000
479,272000
480,315000
481,248000
482,213250
483,133000
484,179665
485,229000
486,210000
487,129500
488,125000
489,263000
490,140000
491,112500
492,255500
493,108000
494,284000
495,113000
496,141000
497,108000
498,175000
499,234000
500,121500
501,170000
502,108000
503,185000
504,268000
505,325000
506,214000
507,316600
508,135960
509,142600
510,120000
511,224500
512,170000
513,139000
514,118500
515,145000
516,146000
517,131500
518,181900
519,253293
520,118500
521,325000
522,133000
523,369900
524,130000
525,137000
526,143000
527,79500
528,185900
529,451950
530,138000
531,140000
532,110000
533,319000
534,114504
535,194201
536,151000
537,275000
538,141000
539,220000
540,151000
541,221000
542,205000
543,152000
544,225000
545,359100
546,118500
547,313000
548,148000
549,261500
550,147000
551,75500
552,137500
553,183200
554,105500
555,314813
556,67000
557,135000
558,168500
559,165150
560,160000
561,139900
562,135000
563,168500
564,124000
565,209500
566,139400
567,144000
568,200000
569,60000
570,93000
571,85000
572,274000
573,226000
574,345000
575,152000
576,370878
577,143250
578,98300
579,155000
580,155000
581,84500
582,205950
583,191000
584,135000
585,350000
586,88000
587,145500
588,149000
589,167000
590,197900
591,402000
592,110000
593,137500
594,423000
595,230500
596,129000
597,193500
598,168000
599,137500
600,103600
601,165000
602,257500
603,140000
604,148500
605,87000
606,372500
607,128500
608,143000
609,159434
610,173000
611,221000
612,207500
613,227875
614,148800
615,392000
616,194700
617,141000
618,335000
619,108480
620,141500
621,176000
622,89000
623,123500
624,138500
625,196000
626,312500
627,140000
628,361919
629,140000
630,213000
631,55000
632,302000
633,254000
634,179540
635,109900
636,52000
637,102776
638,189000
639,129000
640,130500
641,165000
642,159500
643,157000
644,341000
645,128500
646,275000
647,143000
648,135000
649,320000
650,120500
651,222000
652,194500
653,110000
654,103000
655,236500
656,187500
657,222500
658,131400
659,108000
660,163000
661,93500
662,239900
663,179000
664,132000
665,142000
666,179000
667,175000
668,180000
669,299800
670,236000
671,265979
672,260400
673,98000
674,96500
675,162000
676,217000
677,275500
678,156000
679,172500
680,158900
681,179400
682,290000
683,127500
684,100000
685,215200
686,337000
687,270000
688,264132
689,196500
690,160000
691,216837
692,538000
693,102000
694,107000
695,114500
696,395000
697,162000
698,221500
699,142500
700,144000
701,135000
702,176000
703,175900
704,187100
705,165500
706,128000
707,161500
708,139000
709,233000
710,107900
711,187500
712,160200
713,269790
714,225000
715,194500
716,171000
717,143500
718,110000
719,175000
720,200000
721,109900
722,582933
723,118000
724,227680
725,135500
726,159950
727,106000
728,181000
729,144500
730,55993
731,157900
732,116000
733,224900
734,137000
735,271000
736,155000
737,224000
738,183000
739,93000
740,225000
741,385000
742,109500
743,189000
744,185000
745,166000
746,151000
747,237000
748,167000
749,139950
750,128000
751,153500
752,100000
753,144000
754,130500
755,140000
756,174900
757,141000
758,153900
759,171000
760,213000
761,133500
762,240000
763,187000
764,215000
765,164000
766,158000
767,170000
768,147000
769,174000
770,152000
771,189950
772,152000
773,132500
774,250580
775,148500
776,248900
777,129000
778,169000
779,236000
780,109500
781,200500
782,116000
783,66500
784,303477
785,132250
786,350000
787,148000
788,136500
789,157000
790,187500
791,118500
792,100000
793,328900
794,135500
795,268000
796,149500
797,122900
798,172500
799,154500
800,165000
801,118858
802,140000
803,106500
804,142953
805,611657
806,135000
807,110000
808,153000
809,180000
810,240000
811,125500
812,128000
813,255000
814,250000
815,131000
816,174000
817,154300
818,143500
819,88000
820,145000
821,75000
822,35311
823,135000
824,238000
825,176500
826,201000
827,145900
828,169990
829,193000
830,207500
831,175000
832,285000
833,176000
834,236500
835,222000
836,117500
837,320000
838,190000
839,242000
840,253000
841,239799
842,244400
843,150900
844,214000
845,150000
846,143000
847,137500
848,124900
849,143000
850,270000
851,192500
852,129000
853,119900
854,133900
855,172000
856,127500
857,145000
858,124000
859,185000
860,155000
861,116500
862,272000
863,155000
864,239000
865,214900
866,178900
867,160000
868,135000
869,37900
870,140000
871,135000
872,173000
873,99500
874,182000
875,167500
876,165000
877,85500
878,199900
879,139000
880,178400
881,336000
882,159895
883,255900
884,126000
885,125000
886,117000
887,395192
888,195000
889,197000
890,348000
891,168000
892,187000
893,173900
894,337500
895,121600
896,136500
897,185000
898,91000
899,206000
900,82000
901,86000
902,232000
903,136905
904,181000
905,149900
906,163500
907,88000
908,240000
909,102000
910,135000
911,100000
912,165000
913,119200
914,227000
915,203000
916,187500
917,160000
918,213490
919,176000
920,194000
921,87000
922,191000
923,287000
924,112500
925,167500
926,293077
927,105000
928,118000
929,160000
930,310000
931,230000
932,119750
933,315500
934,287000
935,97000
936,80000
937,173000
938,196000
939,262280
940,278000
941,139600
942,556581
943,145000
944,115000
945,84900
946,176485
947,200141
948,165000
949,144500
950,255000
951,180000
952,185850
953,248000
954,335000
955,220000
956,81000
957,90000
958,110500
959,154000
960,178000
961,167900
962,135000
963,135000
964,154000
965,91500
966,159500
967,194000
968,219500
969,170000
970,138800
971,155900
972,126000
973,145000
974,133000
975,192000
976,160000
977,187500
978,147000
979,83500
980,252000
981,137500
982,197000
983,160000
984,136500
985,146000
986,129000
987,176432
988,127000
989,170000
990,128000
991,157000
992,60000
993,119500
994,135000
995,159500
996,106000
997,325000
998,179900
999,274725
1000,181000
1001,280000
1002,188000
1003,205000
1004,134500
1005,117000
1006,318000
1007,130000
1008,140000
1009,118400
1010,212900
1011,112000
1012,118000
1013,163900
1014,174000
1015,259000
1016,215000
1017,135000
1018,93500
1019,117500
1020,239500
1021,169000
1022,119000
1023,94000
1024,196000
1025,144000
1026,139000
1027,197500
1028,80000
1029,80000
1030,149000
1031,180000
1032,174500
1033,116900
1034,143000
1035,124000
1036,201800
1037,218000
1038,179900
1039,230000
1040,235128
1041,185000
1042,146000
1043,224000
1044,129000
1045,108959
1046,245350
1047,173000
1048,235000
1049,625000
1050,171000
1051,163000
1052,171900
1053,200500
1054,239000
1055,285000
1056,119500
1057,115000
1058,154900
1059,93000
1060,250000
1061,392500
1062,745000
1063,120000
1064,186700
1065,104900
1066,95000
1067,262000
1068,189000
1069,168000
1070,174000
1071,125000
1072,165000
1073,158000
1074,219210
1075,144000
1076,148000
1077,116050
1078,197900
1079,213000
1080,153500
1081,271900
1082,107000
1083,200000
1084,140000
1085,290000
1086,189000
1087,164000
1088,113000
1089,145000
1090,134500
1091,125000
1092,229456
1093,80500
1094,115000
1095,134000
1096,143000
1097,137900
1098,184000
1099,145000
1100,214000
1101,147000
1102,367294
1103,127000
1104,190000
1105,132500
1106,101800
1107,142000
1108,130000
1109,138887
1110,195000
1111,142500
1112,265900
1113,248328
1114,170000
1115,465000
1116,230000
1117,178000
1118,186500
1119,169900
1120,129500
1121,119000
1122,244000
1123,171750
1124,130000
1125,294000
1126,165400
1127,127500
1128,99900
1129,190000
1130,151000
1131,181000
1132,128900
1133,161500
1134,180500
1135,181000
1136,183900
1137,122000
1138,378500
1139,381000
1140,144000
1141,185750
1142,137000
1143,177000
1144,139000
1145,137000
1146,162000
1147,197900
1148,237000
1149,68400
1150,227000
1151,180000
1152,139000
1153,169000
1154,132500
1155,143000
1156,190000
1157,278000
1158,281000
1159,180500
1160,119500
1161,162900
1162,115000
1163,138500
1164,155000
1165,140000
1166,160000
1167,154000
1168,225000
1169,177500
1170,290000
1171,232000
1172,130000
1173,325000
1174,202500
1175,138000
1176,147000
1177,179200
1178,335000
1179,203000
1180,302000
1181,333168
1182,119000
1183,206900
1184,295493
1185,208900
1186,275000
1187,111000
1188,156500
1189,72500
1190,190000
1191,147000
1192,55000
1193,79000
1194,130500
1195,256000
1196,227000
1197,132500
1198,100000
1199,125500
1200,125000
1201,167900
1202,135000
1203,52500
1204,200000
1205,128500
1206,123000
1207,228500
1208,177000
1209,155835
1210,108500
1211,262500
1212,283463
1213,215000
1214,122000
1215,200000
1216,134900
1217,410000
1218,235000
1219,170000
1220,110000
1221,149900
1222,177500
1223,315000
1224,189000
1225,260000
1226,104900
1227,156932
1228,144152
1229,216000
1230,193000
1231,127000
1232,144000
1233,232000
1234,105000
1235,165500
1236,274300
1237,239000
1238,91000
1239,117000
1240,83000
1241,167500
1242,58500
1243,237500
1244,157000
1245,112000
1246,105000
1247,125500
1248,250000
1249,136000
1250,377500
1251,131000
1252,235000
1253,124000
1254,123000
1255,163000
1256,160000
1257,137500
1258,138000
1259,137450
1260,120000
1261,193000
1262,193879
1263,282922
1264,275000
1265,133000
1266,112000
1267,125500
1268,215000
1269,230000
1270,140000
1271,90000
1272,257000
1273,207000
1274,175900
1275,122500
1276,124000
1277,223000
1278,179900
1279,127500
1280,136500
1281,274970
1282,144000
1283,142000
1284,271000
1285,140000
1286,119000
1287,192140
1288,143750
1289,64500
1290,186500
1291,160000
1292,174000
1293,120500
1294,394617
1295,149700
1296,197000
1297,191000
1298,149300
1299,310000
1300,121000
1301,179600
1302,129000
1303,157900
1304,112000
1305,92000
1306,136000
1307,287090
1308,145000
1309,185000
1310,175000
1311,210000
1312,266500
1313,147500
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,0
1356,0
1357,0
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,0
1431,0
1432,0
1433,0
1434,0
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,0
1450,0
1451,0
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,0
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0
1520,0
1521,0
1522,0
1523,0
1524,0
1525,0
1526,0
1527,0
1528,0
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0
1545,0
1546,0
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,0
1594,0
1595,0
1596,0
1597,0
1598,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,0
1615,0
1616,0
1617,0
1618,0
1619,0
1620,0
1621,0
1622,0
1623,0
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0
1645,0
1646,0
1647,0
1648,0
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,0
1671,0
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,0
1694,0
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,0
1718,0
1719,0
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,0
1735,0
1736,0
1737,0
1738,0
1739,0
1740,0
1741,0
1742,0
1743,0
1744,0
1745,0
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,0
1763,0
1764,0
1765,0
1766,0
1767,0
1768,0
1769,0
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,0
1788,0
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1818,0
1819,0
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0
2026,0
2027,0
2028,0
2029,0
2030,0
2031,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,0
2055,0
2056,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0
2071,0
2072,0
2073,0
2074,0
2075,0
2076,0
2077,0
2078,0
2079,0
2080,0
2081,0
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,0
2122,0
2123,0
2124,0
2125,0
2126,0
2127,0
2128,0
2129,0
2130,0
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,0
2142,0
2143,0
2144,0
2145,0
2146,0
2147,0
2148,0
2149,0
2150,0
2151,0
2152,0
2153,0
2154,0
2155,0
2156,0
2157,0
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,0
2166,0
2167,0
2168,0
2169,0
2170,0
2171,0
2172,0
2173,0
2174,0
2175,0
2176,0
2177,0
2178,0
2179,0
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,0
2193,0
2194,0
2195,0
2196,0
2197,0
2198,0
2199,0
2200,0
2201,0
2202,0
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0
2215,0
2216,0
2217,0
2218,0
2219,0
2220,0
2221,0
2222,0
2223,0
2224,0
2225,0
2226,0
2227,0
2228,0
2229,0
2230,0
2231,0
2232,0
2233,0
2234,0
2235,0
2236,0
2237,0
2238,0
2239,0
2240,0
2241,0
2242,0
2243,0
2244,0
2245,0
2246,0
2247,0
2248,0
2249,0
2250,0
2251,0
2252,0
2253,0
2254,0
2255,0
2256,0
2257,0
2258,0
2259,0
2260,0
2261,0
2262,0
2263,0
2264,0
2265,0
2266,0
2267,0
2268,0
2269,0
2270,0
2271,0
2272,0
2273,0
2274,0
2275,0
2276,0
2277,0
2278,0
2279,0
2280,0
2281,0
2282,0
2283,0
2284,0
2285,0
2286,0
2287,0
2288,0
2289,0
2290,0
2291,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,0
2299,0
2300,0
2301,0
2302,0
2303,0
2304,0
2305,0
2306,0
2307,0
2308,0
2309,0
2310,0
2311,0
2312,0
2313,0
2314,0
2315,0
2316,0
2317,0
2318,0
2319,0
2320,0
2321,0
2322,0
2323,0
2324,0
2325,0
2326,0
2327,0
2328,0
2329,0
2330,0
2331,0
2332,0
2333,0
2334,0
2335,0
2336,0
2337,0
2338,0
2339,0
2340,0
2341,0
2342,0
2343,0
2344,0
2345,0
2346,0
2347,0
2348,0
2349,0
2350,0
2351,0
2352,0
2353,0
2354,0
2355,0
2356,0
2357,0
2358,0
2359,0
2360,0
2361,0
2362,0
2363,0
2364,0
2365,0
2366,0
2367,0
2368,0
2369,0
2370,0
2371,0
2372,0
2373,0
2374,0
2375,0
2376,0
2377,0
2378,0
2379,0
2380,0
2381,0
2382,0
2383,0
2384,0
2385,0
2386,0
2387,0
2388,0
2389,0
2390,0
2391,0
2392,0
2393,0
2394,0
2395,0
2396,0
2397,0
2398,0
2399,0
2400,0
2401,0
2402,0
2403,0
2404,0
2405,0
2406,0
2407,0
2408,0
2409,0
2410,0
2411,0
2412,0
2413,0
2414,0
2415,0
2416,0
2417,0
2418,0
2419,0
2420,0
2421,0
2422,0
2423,0
2424,0
2425,0
2426,0
2427,0
2428,0
2429,0
2430,0
2431,0
2432,0
2433,0
2434,0
2435,0
2436,0
2437,0
2438,0
2439,0
2440,0
2441,0
2442,0
2443,0
2444,0
2445,0
2446,0
2447,0
2448,0
2449,0
2450,0
2451,0
2452,0
2453,0
2454,0
2455,0
2456,0
2457,0
2458,0
2459,0
2460,0
2461,0
2462,0
2463,0
2464,0
2465,0
2466,0
2467,0
2468,0
2469,0
2470,0
2471,0
2472,0
2473,0
2474,0
2475,0
2476,0
2477,0
2478,0
2479,0
2480,0
2481,0
2482,0
2483,0
2484,0
2485,0
2486,0
2487,0
2488,0
2489,0
2490,0
2491,0
2492,0
2493,0
2494,0
2495,0
2496,0
2497,0
2498,0
2499,0
2500,0
2501,0
2502,0
2503,0
2504,0
2505,0
2506,0
2507,0
2508,0
2509,0
2510,0
2511,0
2512,0
2513,0
2514,0
2515,0
2516,0
2517,0
2518,0
2519,0
2520,0
2521,0
2522,0
2523,0
2524,0
2525,0
2526,0
2527,0
2528,0
2529,0
2530,0
2531,0
2532,0
2533,0
2534,0
2535,0
2536,0
2537,0
2538,0
2539,0
2540,0
2541,0
2542,0
2543,0
2544,0
2545,0
2546,0
2547,0
2548,0
2549,0
2550,0
2551,0
2552,0
2553,0
2554,0
2555,0
2556,0
2557,0
2558,0
2559,0
2560,0
2561,0
2562,0
2563,0
2564,0
2565,0
2566,0
2567,0
2568,0
2569,0
2570,0
2571,0
2572,0
2573,0
2574,0
2575,0
2576,0
2577,0
2578,0
2579,0
2580,0
2581,0
2582,0
2583,0
2584,0
2585,0
2586,0
2587,0
2588,0
2589,0
2590,0
2591,0
2592,0
2593,0
2594,0
2595,0
2596,0
2597,0
2598,0
2599,0
2600,0
2601,0
2602,0
2603,0
2604,0
2605,0
2606,0
2607,0
2608,0
2609,0
2610,0
2611,0
2612,0
2613,0
2614,0
2615,0
2616,0
2617,0
2618,0
2619,0
2620,0
2621,0
2622,0
2623,0
2624,0
2625,0
2626,0
2627,0
2628,0
2629,0
2630,0
2631,0
2632,0
2633,0
2634,0
2635,0
2636,0
2637,0
2638,0
2639,0
2640,0
2641,0
2642,0
2643,0
2644,0
2645,0
2646,0
2647,0
2648,0
2649,0
2650,0
2651,0
2652,0
2653,0
2654,0
2655,0
2656,0
2657,0
2658,0
2659,0
2660,0
2661,0
2662,0
2663,0
2664,0
2665,0
2666,0
2667,0
2668,0
2669,0
2670,0
2671,0
2672,0
2673,0
2674,0
2675,0
2676,0
2677,0
2678,0
2679,0
2680,0
2681,0
2682,0
2683,0
2684,0
2685,0
2686,0
2687,0
2688,0
2689,0
2690,0
2691,0
2692,0
2693,0
2694,0
2695,0
2696,0
2697,0
2698,0
2699,0
2700,0
2701,0
2702,0
2703,0
2704,0
2705,0
2706,0
2707,0
2708,0
2709,0
2710,0
2711,0
2712,0
2713,0
2714,0
2715,0
2716,0
2717,0
2718,0
2719,0
2720,0
2721,0
2722,0
2723,0
2724,0
2725,0
2726,0
2727,0
2728,0
2729,0
2730,0
2731,0
2732,0
2733,0
